sentence_number;phenomenon_type_number;phenomenon_type;linguistic_phenomenon_number;linguistic_phenomenon;error_name_number;error_name;problem_source_number;problem_source;correct_sentence;incorrect_sentence;note_exception;note;origin_of_the_sentence;search_source;meta-llama_Llama-3.2-1B_correct_nll;meta-llama_Llama-3.2-1B_incorrect_nll;meta-llama_Llama-3.2-1B_certainty;meta-llama_Llama-3.2-1B_decision
1.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;1;(atsi)rasti(s);Mieste atsirado valkataujančių šunų.;Mieste atsirado valkataujantys šunys.; ;;vlkk;;4.507894992828369;5.336771011352539;0.8288760185241699;correct
2.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;1;(atsi)rasti(s);Kolektyve vėl atsirado nesutarimų.;Kolektyve vėl atsirado nesutarimai.; ;;vlkk;;3.7675609588623047;3.8648884296417236;0.09732747077941895;correct
3.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;1;(atsi)rasti(s);Nuo šviežių braškių kartais atsiranda odos išbėrimų.;Nuo šviežių braškių kartais atsiranda odos išbėrimai.; ;;vlkk;;4.1791486740112305;4.264370441436768;0.08522176742553711;correct
4.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Pirkėja paklausė, ar yra pieno.;Pirkėja paklausė, ar yra pienas.; ;;vlkk;;4.493753910064697;4.458375930786133;-0.03537797927856445;incorrect
5.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Žmogaus gyvenime būna potvynių ir atoslūgių.;Žmogaus gyvenime būna potvyniai ir atoslūgiai.; ;;vlkk;;3.4480316638946533;3.9511635303497314;0.5031318664550781;correct
6.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Gal jūsų šeimoje yra kokių problemų?;Gal jūsų šeimoje yra kokios problemos?; ;Changed 'sunkumų' to 'problemų'.;vlkk;;3.2842459678649902;3.7996184825897217;0.5153725147247314;correct
7.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Kiekvienoje visuomenėje visada buvo, yra ir bus dorų žmonių.;Kiekvienoje visuomenėje visada buvo, yra ir bus dori žmonės.; ;;vlkk;;3.8575997352600098;4.157135963439941;0.29953622817993164;correct
8.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;3;daugėti;Susirgimų gripu padaugėjo.;Susirgimai gripu padaugėjo.; ;;vlkk;;6.213031768798828;7.233067989349365;1.020036220550537;correct
9.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;4;įvykti;Spėjama, kad nuo trankios muzikos įvyksta pokyčių smegenyse.;Spėjama, kad nuo trankios muzikos įvyksta pokyčiai smegenyse.; ;;vlkk;;3.899205207824707;3.9132323265075684;0.014027118682861328;correct
;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;4;įvykti;Per tą laiką įvyko ir nelaimių.;Per tą laiką įvyko ir nelaimės.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;4.055678367614746;3.9556992053985596;-0.09997916221618652;incorrect
