sentence_number;phenomenon_type_number;phenomenon_type;linguistic_phenomenon_number;linguistic_phenomenon;error_name_number;error_name;problem_source_number;problem_source;correct_sentence;incorrect_sentence;note_exception;note;origin_of_the_sentence;search_source;goldfish-models_lit_latn_100mb_correct_nll;goldfish-models_lit_latn_100mb_incorrect_nll;goldfish-models_lit_latn_100mb_certainty;goldfish-models_lit_latn_100mb_decision
1.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;1;(atsi)rasti(s);Mieste atsirado valkataujančių šunų.;Mieste atsirado valkataujantys šunys.; ;;vlkk;;5.697785377502441;5.6581902503967285;-0.03959512710571289;incorrect
2.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;1;(atsi)rasti(s);Kolektyve vėl atsirado nesutarimų.;Kolektyve vėl atsirado nesutarimai.; ;;vlkk;;6.114850044250488;6.225434303283691;0.11058425903320312;correct
3.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;1;(atsi)rasti(s);Nuo šviežių braškių kartais atsiranda odos išbėrimų.;Nuo šviežių braškių kartais atsiranda odos išbėrimai.; ;;vlkk;;5.616928577423096;5.404937267303467;-0.2119913101196289;incorrect
4.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Pirkėja paklausė, ar yra pieno.;Pirkėja paklausė, ar yra pienas.; ;;vlkk;;5.989103317260742;5.915931224822998;-0.07317209243774414;incorrect
5.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Žmogaus gyvenime būna potvynių ir atoslūgių.;Žmogaus gyvenime būna potvyniai ir atoslūgiai.; ;;vlkk;;4.877283096313477;4.811046123504639;-0.06623697280883789;incorrect
6.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Gal jūsų šeimoje yra kokių problemų?;Gal jūsų šeimoje yra kokios problemos?; ;Changed 'sunkumų' to 'problemų'.;vlkk;;5.47137451171875;5.8141279220581055;0.34275341033935547;correct
7.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Kiekvienoje visuomenėje visada buvo, yra ir bus dorų žmonių.;Kiekvienoje visuomenėje visada buvo, yra ir bus dori žmonės.; ;;vlkk;;4.763152122497559;4.6407389640808105;-0.12241315841674805;incorrect
8.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;3;daugėti;Susirgimų gripu padaugėjo.;Susirgimai gripu padaugėjo.; ;;vlkk;;5.738919734954834;6.634491443634033;0.8955717086791992;correct
9.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;4;įvykti;Spėjama, kad nuo trankios muzikos įvyksta pokyčių smegenyse.;Spėjama, kad nuo trankios muzikos įvyksta pokyčiai smegenyse.; ;;vlkk;;6.029980182647705;6.063880443572998;0.03390026092529297;correct
;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;4;įvykti;Per tą laiką įvyko ir nelaimių.;Per tą laiką įvyko ir nelaimės.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;4.942363262176514;4.3757004737854;-0.5666627883911133;incorrect
10.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;5;kilti;Dėl projekto kilo visokių abejonių.;Dėl projekto kilo visokios abejonės.; ;;vlkk;;5.886885643005371;6.219385147094727;0.33249950408935547;correct
11.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;5;kilti;Pasitarime iškilo naujų klausimų dėl darbo sutarčių.;Pasitarime iškilo nauji klausimai dėl darbo sutarčių.; ;;vlkk;;5.1178669929504395;5.095308303833008;-0.02255868911743164;incorrect
;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;5;kilti;Posėdyje dažnai kyla ginčų.;Posėdyje dažnai kyla ginčai.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;5.80913782119751;5.961828708648682;0.15269088745117188;correct
12.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;6;mažėti;Nelaimingų atsitikimų buityje nemažėja.;Nelaimingi atsitikimai buityje nemažėja.; ;;vlkk;;5.876457214355469;5.2878313064575195;-0.5886259078979492;incorrect
13.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;6;mažėti;Šiemet ūkyje sumažėjo karvių ir kiaulių.;Šiemet ūkyje sumažėjo karvės ir kiaulės.; ;;vlkk;;5.795410633087158;6.283065319061279;0.4876546859741211;correct
