sentence_number;phenomenon_type_number;phenomenon_type;linguistic_phenomenon_number;linguistic_phenomenon;error_name_number;error_name;problem_source_number;problem_source;correct_sentence;incorrect_sentence;note_exception;note;origin_of_the_sentence;search_source;CohereLabs_aya-expanse-8b_correct_nll;CohereLabs_aya-expanse-8b_incorrect_nll;CohereLabs_aya-expanse-8b_certainty;CohereLabs_aya-expanse-8b_decision
1.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;1;(atsi)rasti(s);Mieste atsirado valkataujančių šunų.;Mieste atsirado valkataujantys šunys.; ;;vlkk;;8.009446144104004;9.006579399108887;0.9971332550048828;correct
2.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;1;(atsi)rasti(s);Kolektyve vėl atsirado nesutarimų.;Kolektyve vėl atsirado nesutarimai.; ;;vlkk;;6.004230976104736;5.71782922744751;-0.28640174865722656;incorrect
3.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;1;(atsi)rasti(s);Nuo šviežių braškių kartais atsiranda odos išbėrimų.;Nuo šviežių braškių kartais atsiranda odos išbėrimai.; ;;vlkk;;5.582660675048828;5.336261749267578;-0.24639892578125;incorrect
4.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Pirkėja paklausė, ar yra pieno.;Pirkėja paklausė, ar yra pienas.; ;;vlkk;;6.615498065948486;5.80344295501709;-0.8120551109313965;incorrect
5.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Žmogaus gyvenime būna potvynių ir atoslūgių.;Žmogaus gyvenime būna potvyniai ir atoslūgiai.; ;;vlkk;;4.969025611877441;4.9804368019104;0.011411190032958984;correct
6.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Gal jūsų šeimoje yra kokių problemų?;Gal jūsų šeimoje yra kokios problemos?; ;Changed 'sunkumų' to 'problemų'.;vlkk;;4.038999080657959;4.4130167961120605;0.37401771545410156;correct
7.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Kiekvienoje visuomenėje visada buvo, yra ir bus dorų žmonių.;Kiekvienoje visuomenėje visada buvo, yra ir bus dori žmonės.; ;;vlkk;;3.994852304458618;4.1834797859191895;0.1886274814605713;correct
8.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;3;daugėti;Susirgimų gripu padaugėjo.;Susirgimai gripu padaugėjo.; ;;vlkk;;6.010471343994141;6.668750762939453;0.6582794189453125;correct
9.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;4;įvykti;Spėjama, kad nuo trankios muzikos įvyksta pokyčių smegenyse.;Spėjama, kad nuo trankios muzikos įvyksta pokyčiai smegenyse.; ;;vlkk;;5.016362190246582;5.329391956329346;0.31302976608276367;correct
;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;4;įvykti;Per tą laiką įvyko ir nelaimių.;Per tą laiką įvyko ir nelaimės.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;4.898165225982666;5.326167583465576;0.42800235748291016;correct
10.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;5;kilti;Dėl projekto kilo visokių abejonių.;Dėl projekto kilo visokios abejonės.; ;;vlkk;;4.4453606605529785;4.274207592010498;-0.17115306854248047;incorrect
11.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;5;kilti;Pasitarime iškilo naujų klausimų dėl darbo sutarčių.;Pasitarime iškilo nauji klausimai dėl darbo sutarčių.; ;;vlkk;;3.602053165435791;3.909618377685547;0.30756521224975586;correct
;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;5;kilti;Posėdyje dažnai kyla ginčų.;Posėdyje dažnai kyla ginčai.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;5.660799503326416;5.268261432647705;-0.39253807067871094;incorrect
12.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;6;mažėti;Nelaimingų atsitikimų buityje nemažėja.;Nelaimingi atsitikimai buityje nemažėja.; ;;vlkk;;5.627561569213867;6.345739364624023;0.7181777954101562;correct
13.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;6;mažėti;Šiemet ūkyje sumažėjo karvių ir kiaulių.;Šiemet ūkyje sumažėjo karvės ir kiaulės.; ;;vlkk;;6.630274772644043;7.015408992767334;0.385134220123291;correct
14.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;7;pasitaikyti;Gyvenime pasitaiko įvairių nesusipratimų.;Gyvenime pasitaiko įvairūs nesusipratimai.; ;;vlkk;;3.7285444736480713;3.5686416625976562;-0.15990281105041504;incorrect
15.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;7;pasitaikyti;Mokinio rašiniuose vis pasitaiko skyrybos klaidų.;Mokinio rašiniuose vis pasitaiko skyrybos klaidos.; ;;vlkk;;7.0342254638671875;7.49766206741333;0.4634366035461426;correct
16.0;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Vairuotojau, atidarykit duris.;Vairuotojas, atidarykit duris.; ;;vlkk;;5.868531227111816;6.373725414276123;0.5051941871643066;correct
17.0;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Birute, jus kviečia direktorius.;Birutė, jus kviečia direktorius.; ;;vlkk;;6.899615287780762;5.6857147216796875;-1.2139005661010742;incorrect
18.0;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Gerbiamasis pranešėjau, jums liko 10 minučių.;Gerbiamasis pranešėjas, jums liko 10 minučių.; ;;vlkk;;3.1304874420166016;2.9547438621520996;-0.17574357986450195;incorrect
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Skaitytojau, parašykite savo nuomonę komentaruose.;Skaitytojas, parašykite savo nuomonę komentaruose.; ;;ChatGPT;;4.336437225341797;4.743801116943359;0.4073638916015625;correct
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Drauge, paskambink man, kai grįši namo.;Draugė, paskambink man, kai grįši namo.; ;;ChatGPT;;6.50720739364624;5.5495429039001465;-0.9576644897460938;incorrect
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Daktare, gal galite paaiškinti tyrimų rezultatus?;Daktaras, gal galite paaiškinti tyrimų rezultatus?; ;;ChatGPT;;4.993740558624268;5.181423187255859;0.1876826286315918;correct
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Direktoriau, ar galėtumėte trumpai užsukti į salę?;Direktorius, ar galėtumėte trumpai užsukti į salę?; ;;ChatGPT;;5.46875524520874;6.156049728393555;0.6872944831848145;correct
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Mindaugai, ar sudarei sąmatą?;Mindaugas, ar sudarei sąmatą?; ;;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;8.138611793518066;7.46401834487915;-0.674593448638916;incorrect
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Tėti, ateik į virtuvę paragauti sriubos.;Tėtis, ateik į virtuvę paragauti sriubos.; ;;ChatGPT;;5.345157623291016;5.634180068969727;0.28902244567871094;correct
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Kas tavo mama, berniuk?;Kas tavo mama, berniukas?; ;;corpus;http://tekstynas.vdu.lt/tekstynas/;7.817258358001709;8.113167762756348;0.29590940475463867;correct
19.0;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Ponas pirmininke, čia reikia jūsų parašo.;Pone pirmininke, čia reikia jūsų parašo.;Priedėliu einančio daiktavardžio ponas vardininkas – ne klaida.; ;vlkk;;4.3547515869140625;3.221454620361328;-1.1332969665527344;incorrect
20.0;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;1;prieiti ko;Priėjome išvadą.;Priėjome išvados.; ;;vlkk;;6.431817531585693;6.241981506347656;-0.1898360252380371;incorrect
